v_bin,n_records,power_mean,power_std,power_p25,power_p75,Cp,year
14.75,589,2006.6327894837998,39.25216690011229,1987.1419311523457,2036.6143473307309,0.1933161620774698,2020
15.25,521,2012.6712756837028,36.663905965128386,1996.6292032877625,2038.7566609700543,0.17544445160100475,2020
15.75,447,2017.8432043394182,31.602995984451354,2002.47835083008,2041.7196973778755,0.15966953591254535,2020
16.25,393,2023.0626080004797,31.291075579730148,2011.79684651693,2044.3886433919288,0.14575570017499556,2020
16.75,344,2027.8739009955752,24.380284869340073,2017.3406402587875,2045.0753000895204,0.13340522281313882,2020
17.25,285,2030.7879545273236,22.456601404747587,2021.2226236979195,2046.13116861979,0.12231327685121446,2020
17.75,225,2033.815498501581,18.76601117961421,2027.6442464192728,2045.3948102678603,0.11243274169929805,2020
18.25,255,2035.9658780624684,17.7805409061692,2027.2433756510422,2049.0113525390652,0.1035519328379211,2020
18.75,197,2036.690057931412,16.772618611481004,2030.12338867188,2047.012211100263,0.09552068935888866,2020
19.25,163,2040.225250499171,13.433466642707634,2035.0603434244813,2048.6154491205352,0.088422387577737,2020
19.75,135,2039.1646055535814,15.06561535308282,2031.512367757165,2048.635219319665,0.08183278002300085,2020
20.25,165,2042.1288118994594,16.14105077750176,2037.67215576172,2052.0103556315125,0.07602989153189386,2020
20.75,118,2043.6825725675694,12.607505639552613,2038.9645619710302,2051.902336909855,0.0707188938768087,2020
21.25,106,2045.2965746509744,11.616706224468347,2039.48379109701,2053.6573760986357,0.06589550774292939,2020
21.75,77,2045.5987304609023,12.342208013922765,2038.6481933593768,2053.7578898112,0.06146373991301951,2020
22.25,70,2045.5616641245367,13.355529606365442,2040.548450724285,2054.4905046251124,0.05741149431010344,2020
22.75,45,2047.4825570153685,19.851551499919278,2041.3638671875,2060.168945312503,0.05375914196458626,2020
23.25,28,2052.1402877757528,12.228444659321445,2048.059028625491,2057.786399332685,0.050479436204784706,2020
23.75,34,2046.7995942782009,26.35324698657144,2045.6359517415426,2058.806945800781,0.047234660821556536,2020
24.25,6,2045.7415109785798,8.582278110754231,2042.9167165120475,2051.129324776788,0.04434981879396335,2020
24.75,8,2050.5109335537636,15.052972392057503,2040.9418922161256,2059.8902933756526,0.04181314171370502,2020
1.25,179,-1.6144396922884767,0.5340815233803508,-2.005426520109177,-1.1646243981931397,,2021
1.75,526,-1.6810238480820132,0.6484247869998365,-1.9561666995286944,-1.2140681967139233,,2021
2.25,810,-1.827573718721693,0.722862798456246,-2.0428604563077286,-1.416458118972422,,2021
2.75,1083,-2.104428602485956,0.9066502168987097,-2.4441475037185625,-1.5405702094237008,,2021
3.25,1204,-2.2717681446483318,2.440005548948934,-2.8028986567053296,-1.6122370352347686,,2021
3.75,1231,6.011532768403395,11.473544931767734,-2.422623531023662,12.045562172418945,0.0352425834201707,2021
4.25,1635,41.04682319050352,21.99626689165675,25.112809004386268,55.93024677236875,0.16530617667477185,2021
4.75,1795,89.69070417504363,27.727006757005757,70.54121973514557,109.50850960413618,0.25872769874477786,2021
5.25,1622,150.65981773278656,32.76834975105934,127.70234698057178,175.30741380055747,0.3218813753273371,2021
5.75,1662,220.03188902309728,37.665551852293646,194.11342246532445,245.37042223612477,0.3578148939926774,2021
6.25,1420,305.455102011611,46.912554833620675,274.42240165074674,337.6197474161785,0.38679749457473706,2021
6.75,1278,409.37588247752916,53.851982704580884,370.8758296966553,445.5999471028646,0.4115165025329218,2021
7.25,1167,526.9146737662506,60.490347001582215,483.301030476888,568.8807118733725,0.42746700099412116,2021
7.75,1037,652.9848042919828,68.850926382885,603.3978174845378,698.6043853759767,0.43368488700170615,2021
8.25,487,757.9306947839779,70.61451599932369,709.5023468017579,799.1406163533529,0.41729575875589325,2021
8.75,88,983.026350237866,88.39922260535413,927.044337463379,1026.8047927856455,0.45364624573153933,2021
9.25,192,1109.449416723288,83.54375975912608,1052.0606648763028,1164.224811439953,0.4333697852163907,2021
9.75,329,1260.952511208976,89.88785796269059,1199.8601200498388,1319.3296866581366,0.42059219062377934,2021
10.25,446,1386.4007102777089,99.60762926678154,1316.3546793619807,1452.3321029663098,0.3980095536872058,2021
10.75,478,1517.816600061218,108.0069345789917,1439.773697425581,1589.6191297743067,0.3777202134066845,2021
11.25,484,1652.7609594636212,100.54015084842925,1582.6201075236013,1720.070154825848,0.35886309563761826,2021
11.75,487,1760.415096875899,101.37687957788957,1697.54718971691,1832.3593953450538,0.335488629362536,2021
12.25,401,1840.1405465326666,99.8420008526966,1775.3408528645843,1914.8869018554708,0.30947035250971267,2021
12.75,392,1906.1989127882641,85.32893935480874,1850.427435302736,1969.7532775878922,0.2843243035562959,2021
13.25,337,1950.109579552531,72.31016818667138,1905.1531087239605,2006.7272176106808,0.25917177416860687,2021
13.75,303,1984.9821330983082,51.648700343334525,1953.8983057657892,2025.0041320800801,0.23606131841143455,2021
14.25,254,2000.9941490163753,45.76240428294311,1980.884748331708,2033.606469726564,0.2137851557579583,2021
14.75,220,2007.7210846712685,40.61432108124402,1988.1520690917987,2038.0801022584433,0.1934210068950923,2021
15.25,194,2023.2321782678625,28.46422013257109,2013.8245483398464,2041.731993192787,0.17636504493617824,2021
15.75,192,2028.1943836466378,26.04653964823108,2020.0957194010432,2044.9093831380233,0.16048861243572465,2021
16.25,162,2028.4761327924955,28.141999522829277,2021.8281697591176,2044.7684407552108,0.14614572868590497,2021
16.75,131,2035.447489523273,20.556786645548957,2029.669125611757,2047.984132964038,0.13390345707935059,2021
