v_bin,n_records,power_mean,power_std,power_p10,power_p90,v_mean,Cp,turbine_id
18.25,196,2032.357335259186,20.504630735542225,2006.298282612236,2052.115227359466,17.989923159645343,0.10336839755079542,T02
18.75,191,2035.7428077938,20.23654824874296,2005.68329671224,2053.38435465495,18.49550708243732,0.09547626336201809,T02
19.25,167,2038.043873946342,15.438931648117071,2016.2927042643241,2053.3925561523456,18.990429891204702,0.08832784776015558,T02
19.75,144,2038.295055150067,16.335099149250052,2015.3101770019573,2055.5535624420086,19.508835199206352,0.08179788449436333,T02
20.25,87,2043.2886076881082,13.173751735416934,2022.831267089846,2057.471465573367,20.010482697386514,0.07607307154458273,T02
20.75,101,2039.5172690528607,21.06822022066403,2018.41266682943,2057.877823893232,20.48809515879047,0.07057475913632828,T02
21.25,89,2044.7324435474227,14.118266005435677,2030.8280286096683,2057.9106090607097,21.003793332240306,0.0658773325276756,T02
21.75,56,2048.0612459925087,10.229078749585208,2036.7872131347672,2059.7057189239895,21.49461335144274,0.06153773067763654,T02
22.25,43,2048.6932909159646,12.929051720060995,2034.5918907428631,2060.7002571614603,22.041580672091566,0.057499387712131186,T02
22.75,35,2046.2973524696602,13.159238390745939,2027.4977563476589,2060.4739868164074,22.47609599660626,0.05372802297936634,T02
23.25,25,2050.985586389615,11.050813503348927,2040.1314164677372,2066.00688883464,23.008086449513794,0.05045103235963613,T02
23.75,17,2052.651928351909,8.736445272256018,2045.0571378580748,2060.8451171875004,23.45615384676759,0.04736971704091422,T02
24.25,12,2050.3619673755584,11.996062504003966,2036.3957368977851,2064.6716918945326,24.00730089183915,0.0444499860941094,T02
24.75,5,2048.9539909072464,13.512154473269401,2035.5233752020495,2060.310925021706,24.419690211448593,0.041781393205343687,T02
1.25,210,-0.27937592790989707,0.3951301165654193,-0.7461224400440515,-0.002118192722124071,1.1265119818492926,,T04
1.75,662,-0.3076946615651132,0.431981787004009,-0.9109817594103516,-0.0007649656577360606,1.528216756452744,,T04
2.25,1155,-0.6607593682806866,0.7673301836690605,-1.4897895736735443,-0.008678266952435091,2.0153924009912094,,T04
2.75,1692,-0.9958800765371513,1.1020677718754297,-1.931489095961054,-0.022869932174278455,2.5138362462595034,,T04
3.25,1945,-1.4561382603921347,2.3506973177509694,-3.674392379497488,-0.048018093742969996,2.9962337408393176,,T04
3.75,1994,6.8587753517686405,11.383867040271612,-3.565627022236585,23.15234994007992,3.5078041222715033,0.040209539198622,T04
4.25,2594,42.29361468205138,21.660166910776056,14.321567931473254,70.77717224844571,4.003455759303026,0.170327328582725,T04
4.75,2655,92.81893747267677,29.268178153522936,55.86229758696895,130.11188093821207,4.507539343687593,0.2677516060680366,T04
5.25,2779,154.58796344438778,33.92486587817376,111.85371759529465,197.68008071899428,4.999617929720804,0.3302737719408717,T04
